game_id,game_link,game_name,age_rating,platform_name
45,/game/switch/laytons-mystery-journey-katrielle-and-the-millionaires-conspiracy---deluxe-edition                                                                                                         ,Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy - Deluxe Edition                                                                                                                   ,E10+      ,Switch                                                                                              
46,/game/switch/the-stretchers                                                                                                                                                                             ,The Stretchers                                                                                                                                                                                          ,E         ,Switch                                                                                              
47,/game/switch/super-smash-bros-ultimate-terry-bogard                                                                                                                                                     ,Super Smash Bros. Ultimate: Terry Bogard                                                                                                                                                                ,E10+      ,Switch                                                                                              
48,/game/switch/luigis-mansion-3                                                                                                                                                                           ,Luigi's Mansion 3                                                                                                                                                                                       ,E         ,Switch                                                                                              
49,/game/switch/ring-fit-adventure                                                                                                                                                                         ,Ring Fit Adventure                                                                                                                                                                                      ,E10+      ,Switch                                                                                              
50,/game/switch/little-town-hero                                                                                                                                                                           ,Little Town Hero                                                                                                                                                                                        ,E10+      ,Switch                                                                                              
51,/game/switch/marvel-ultimate-alliance-3-the-black-order---expansion-1-curse-of-the-vampire                                                                                                              ,Marvel Ultimate Alliance 3: The Black Order - Expansion 1: Curse of the Vampire                                                                                                                         ,T         ,Switch                                                                                              
52,/game/switch/dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition                                                                                                                            ,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition                                                                                                                                        ,T         ,Switch                                                                                              
53,/game/ios/mario-kart-tour                                                                                                                                                                               ,Mario Kart Tour                                                                                                                                                                                         ,E         ,iOS                                                                                                 
54,/game/switch/the-legend-of-zelda-links-awakening                                                                                                                                                        ,The Legend of Zelda: Link's Awakening                                                                                                                                                                   ,E         ,Switch                                                                                              
55,/game/switch/daemon-x-machina                                                                                                                                                                           ,Daemon X Machina                                                                                                                                                                                        ,T         ,Switch                                                                                              
56,/game/switch/super-smash-bros-ultimate-banjo-kazooie                                                                                                                                                    ,Super Smash Bros. Ultimate: Banjo & Kazooie                                                                                                                                                             ,E10+      ,Switch                                                                                              
57,/game/switch/super-kirby-clash                                                                                                                                                                          ,Super Kirby Clash                                                                                                                                                                                       ,E         ,Switch                                                                                              
58,/game/switch/arcade-archives-pinball                                                                                                                                                                    ,Arcade Archives: Pinball                                                                                                                                                                                ,E         ,Switch                                                                                              
59,/game/switch/astral-chain                                                                                                                                                                               ,Astral Chain                                                                                                                                                                                            ,T         ,Switch                                                                                              
60,/game/switch/super-smash-bros-ultimate-hero                                                                                                                                                             ,Super Smash Bros. Ultimate: Hero                                                                                                                                                                        ,E10+      ,Switch                                                                                              
61,/game/switch/fire-emblem-three-houses                                                                                                                                                                   ,Fire Emblem: Three Houses                                                                                                                                                                               ,T         ,Switch                                                                                              
62,/game/switch/marvel-ultimate-alliance-3-the-black-order                                                                                                                                                 ,Marvel Ultimate Alliance 3: The Black Order                                                                                                                                                             ,T         ,Switch                                                                                              
63,/game/ios/dr-mario-world                                                                                                                                                                                ,Dr. Mario World                                                                                                                                                                                         ,          ,iOS                                                                                                 
64,/game/switch/arcade-archives-clu-clu-land                                                                                                                                                               ,Arcade Archives: Clu Clu Land                                                                                                                                                                           ,E         ,Switch                                                                                              
65,/game/switch/super-mario-maker-2                                                                                                                                                                        ,Super Mario Maker 2                                                                                                                                                                                     ,E         ,Switch                                                                                              
66,/game/switch/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda                                                                                                                   ,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda                                                                                                                               ,E         ,Switch                                                                                              
67,/game/switch/nintendo-labo-toycon-04-vr-kit                                                                                                                                                             ,Nintendo Labo: Toycon 04 VR Kit                                                                                                                                                                         ,E10+      ,Switch                                                                                              
68,/game/switch/tetris-99-big-block                                                                                                                                                                        ,Tetris 99: Big Block                                                                                                                                                                                    ,E         ,Switch                                                                                              
69,/game/switch/boxboy!-+-boxgirl!                                                                                                                                                                         ,BoxBoy! + BoxGirl!                                                                                                                                                                                      ,E         ,Switch                                                                                              
70,/game/switch/super-smash-bros-ultimate-joker                                                                                                                                                            ,Super Smash Bros. Ultimate: Joker                                                                                                                                                                       ,E10+      ,Switch                                                                                              
71,/game/switch/yoshis-crafted-world                                                                                                                                                                       ,Yoshi's Crafted World                                                                                                                                                                                   ,E         ,Switch                                                                                              
72,/game/switch/captain-toad-treasure-tracker---special-episode                                                                                                                                            ,Captain Toad: Treasure Tracker - Special Episode                                                                                                                                                        ,          ,Switch                                                                                              
73,/game/3ds/kirbys-extra-epic-yarn                                                                                                                                                                        ,Kirby's Extra Epic Yarn                                                                                                                                                                                 ,E         ,3DS                                                                                                 
74,/game/switch/arcade-archives-vs-ice-climber                                                                                                                                                             ,Arcade Archives: Vs. Ice Climber                                                                                                                                                                        ,          ,Switch                                                                                              
75,/game/switch/tetris-99                                                                                                                                                                                  ,Tetris 99                                                                                                                                                                                               ,E         ,Switch                                                                                              
76,/game/switch/daemon-x-machina-prototype-missions                                                                                                                                                        ,Daemon X Machina: Prototype Missions                                                                                                                                                                    ,          ,Switch                                                                                              
77,/game/3ds/yo-kai-watch-3                                                                                                                                                                                ,Yo-kai Watch 3                                                                                                                                                                                          ,E10+      ,3DS                                                                                                 
78,/game/switch/super-smash-bros-ultimate-piranha-plant                                                                                                                                                    ,Super Smash Bros. Ultimate: Piranha Plant                                                                                                                                                               ,E10+      ,Switch                                                                                              
79,/game/switch/travis-strikes-again-no-more-heroes                                                                                                                                                        ,Travis Strikes Again: No More Heroes                                                                                                                                                                    ,M         ,Switch                                                                                              
80,/game/3ds/mario-luigi-bowsers-inside-story-+-bowser-jrs-journey                                                                                                                                         ,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey                                                                                                                                             ,E         ,3DS                                                                                                 
81,/game/switch/new-super-mario-bros-u-deluxe                                                                                                                                                              ,New Super Mario Bros. U Deluxe                                                                                                                                                                          ,E         ,Switch                                                                                              
82,/game/switch/fitness-boxing                                                                                                                                                                             ,Fitness Boxing                                                                                                                                                                                          ,T         ,Switch                                                                                              
83,/game/switch/super-smash-bros-ultimate                                                                                                                                                                  ,Super Smash Bros. Ultimate                                                                                                                                                                              ,E10+      ,Switch                                                                                              
84,/game/switch/pokemon-lets-go-eevee!                                                                                                                                                                     ,"Pokemon: Let's Go, Eevee!                                                                                                                                                                               ",E         ,Switch                                                                                              
85,/game/switch/pokemon-lets-go-pikachu!                                                                                                                                                                   ,"Pokemon: Let's Go, Pikachu!                                                                                                                                                                             ",E         ,Switch                                                                                              
86,/game/switch/arcade-archives-urban-champion                                                                                                                                                             ,Arcade Archives: Urban Champion                                                                                                                                                                         ,          ,Switch                                                                                              
87,/game/switch/the-world-ends-with-you-final-remix                                                                                                                                                        ,The World Ends with You: Final Remix                                                                                                                                                                    ,T         ,Switch                                                                                              
